Station,Elevation,Station ,Elevation ,,,,
100,120.05,100,120.05,,,,
100,117,100,117,,,,
100,116,100,116,,,,
100,115.8,100,115.8,,,,
101,115.1533333,101,115.1533333,,,,
103,114.5066667,103,114.5066667,,,,
105,113.86,105,113.86,,,,
107,113.2133333,107,113.2133333,,,,
109,112.5666667,109,112.5666667,,,,
111,111.92,111,111.92,,,,
113,111.2733333,113,111.2733333,,,,
115,110.6266667,115,110.6266667,,,,
117,109.98,117,109.98,,,,
119,109.3333333,119,109.3333333,,,,
121,108.6866667,121,108.6866667,,,,
123,108.04,123,108.04,,,,
125,107.3933333,125,107.3933333,,,,
127,106.7466667,127,106.7466667,,,,
129,106.1,129,106.1,,,,
131,105.4533333,131,105.4533333,,,,
133,104.8066667,133,104.8066667,,,,
135,104.16,135,104.16,,,,
137,103.5133333,137,103.5133333,,,,
139,102.8666667,139,102.8666667,,,,
141,102.22,141,102.22,,,,
143,101.5733333,143,101.5733333,,,,
145,100.9266667,145,100.9266667,,,,
147,100.28,147,100.28,,,,
149,99.63333333,149,99.63333333,,,,
151,98.98666667,151,98.98666667,,,,
153,98.34,153,98.34,,,,
155,97.69333333,155,97.69333333,,,,
155.66,96.72,155.66,96.72,,,,
156.24,96.6,156.24,96.6,,,,
158.24,96.6,158.24,96.6,,,,
160.24,96.6,160.24,96.6,,,,
162.24,96.6,162.24,96.6,,,,
164.24,96.6,164.24,96.6,,,,
166.24,96.6,166.24,96.6,,,,
168.24,96.6,168.24,96.6,,,,
170.24,96.6,170.24,96.6,,,,
172.24,96.6,172.24,96.6,,,,
174.24,96.6,174.24,96.6,,,,
176.24,96.6,176.24,96.6,,,,
178.24,96.6,178.24,96.6,,,,
180.24,96.6,180.24,96.6,,,,
182.24,96.6,182.24,96.6,,,,
184.24,96.6,184.24,96.6,,,,
186.24,96.6,186.24,96.6,,,,
188.24,96.6,188.24,96.6,,,,
190.24,96.6,190.24,96.6,,,,
192.24,96.6,192.24,96.6,,,,
194.24,96.6,194.24,96.6,,,,
196.24,96.6,196.24,96.6,,,,
198.24,96.6,198.24,96.6,,,,
200.24,96.6,200.24,96.6,,,,
202.24,96.6,202.24,96.6,,,,
204.24,96.6,204.24,96.6,,,,
206.24,96.6,206.24,96.6,,,,
208.24,96.6,208.24,96.6,,,,
210.24,96.6,210.24,96.6,,,,
212.24,96.6,212.24,96.6,,,,
214.24,96.6,214.24,96.6,,,,
216.24,96.6,216.24,96.6,,,,
218.24,96.6,218.24,96.6,,,,
220.24,96.6,220.24,96.6,,,,
222.24,96.6,222.24,96.6,,,,
224.24,96.6,224.24,96.6,,,,
226.24,96.6,226.24,96.6,,,,
228.24,96.6,228.24,96.6,,,,
230.24,96.6,230.24,96.6,,,,
232.24,96.6,232.24,96.6,,,,
234.24,96.6,234.24,96.6,,,,
236.24,96.6,236.24,96.6,,,,
238.24,96.6,238.24,96.6,,,,
240.24,96.6,240.24,96.6,,,,
242.24,96.6,242.24,96.6,,,,
244.24,96.6,244.24,96.6,,,,
246.24,96.6,246.24,96.6,,,,
248.24,96.6,248.24,96.6,,,,
250.24,96.6,250.24,96.6,,,,
252.24,96.6,252.24,96.6,,,,
254.24,96.6,254.24,96.6,,,,
256.24,96.6,256.24,96.6,,,,
258.24,96.6,258.24,96.6,,,,
260.24,96.6,260.24,96.6,,,,
262.24,96.6,262.24,96.6,,,,
264.24,96.6,264.24,96.6,,,,
266.24,96.6,266.24,96.6,,,,
268.24,96.6,268.24,96.6,,,,
270.24,96.6,270.24,96.6,,,,
272.24,96.6,272.24,96.6,,,,
274.24,96.6,274.24,96.6,,,,
276.24,96.6,276.24,96.6,,,,
278.24,96.6,278.24,96.6,,,,
280.24,96.6,280.24,96.6,,,,
282.24,96.6,282.24,96.6,,,,
284.24,96.6,284.24,96.6,,,,
286.24,96.6,286.24,96.6,,,,
288.24,96.6,288.24,96.6,,,,
290.24,96.6,290.24,96.6,,,,
292.24,96.6,292.24,96.6,,,,
294.24,96.6,294.24,96.6,,,,
296.24,96.6,296.24,96.6,,,,
298.24,96.6,298.24,96.6,,,,
300.24,96.6,300.24,96.6,,,,
302.24,96.6,302.24,96.6,,,,
304.24,96.6,304.24,96.6,,,,
306.24,96.6,306.24,96.6,,,,
308.24,96.6,308.24,96.6,,,,
310.24,96.6,310.24,96.6,,,,
312.24,96.6,312.24,96.6,,,,
314.24,96.6,314.24,96.6,,,,
316.5,96.6,316.5,96.6,,,,
