Station,Elevation,,,
940,64.29,,940,64.29
940,63.29,,940,63.29
940.33,62.29,,940.33,62.29
940.66,61.29,,940.66,61.29
940.99,60.29,,940.99,60.29
941.32,59.29,,941.32,59.29
941.65,58.29,,941.65,58.29
941.98,57.29,,941.98,57.29
942.31,56.29,,942.31,56.29
942.64,55.29,,942.64,55.29
942.97,54.29,,942.97,54.29
943.3,53.29,,943.3,53.29
943.63,52.29,,943.63,52.29
943.96,51.29,,943.96,51.29
944.29,50.29,,944.29,50.29
944.62,49.85,,944.62,49.85
944.95,49.81955,,944.95,49.81955
945.28,49.7891,,945.28,49.7891
945.61,49.75865,,945.61,49.75865
948,49.7282,,948,49.7282
950,49.69775,,950,49.69775
952,49.6673,,952,49.6673
954,49.63685,,954,49.63685
956,49.6064,,956,49.6064
958,49.57595,,958,49.57595
960,49.5455,,960,49.5455
962,49.51505,,962,49.51505
964,49.4846,,964,49.4846
966,49.45415,,966,49.45415
968,49.4237,,968,49.4237
970,49.39325,,970,49.39325
972,49.3628,,972,49.3628
974,49.33235,,974,49.33235
976,49.3019,,976,49.3019
978,49.27145,,978,49.27145
980,49.241,,980,49.241
982,49.21055,,982,49.21055
984,49.19,,984,49.19
986,49.18,,986,49.18
988,49.18,,988,49.18
990,49.18,,990,49.18
992,49.18,,992,49.18
994,49.18,,994,49.18
996,49.18,,996,49.18
998,49.18,,998,49.18
1000,49.18,,1000,49.18
1002,49.18,,1002,49.18
1004,49.18,,1004,49.18
1006,49.18,,1006,49.18
1008,49.18,,1008,49.18
1010,49.18,,1010,49.18
1012,49.18,,1012,49.18
1014,49.18,,1014,49.18
1016,49.211904,,1016,49.211904
1018,49.243808,,1018,49.243808
1020,49.275712,,1020,49.275712
1022,49.307616,,1022,49.307616
1024,49.33952,,1024,49.33952
1026,49.371424,,1026,49.371424
1028,49.403328,,1028,49.403328
1030,49.435232,,1030,49.435232
1032,49.467136,,1032,49.467136
1034,49.49904,,1034,49.49904
1036,49.530944,,1036,49.530944
1038,49.562848,,1038,49.562848
1040,49.594752,,1040,49.594752
1042,49.626656,,1042,49.626656
1044,49.65856,,1044,49.65856
1046,49.690464,,1046,49.690464
1048,49.722368,,1048,49.722368
1050,49.754272,,1050,49.754272
1052,49.786176,,1052,49.786176
1052.5,49.81808,,1052.5,49.81808
1053,49.849984,,1053,49.849984
1053.5,49.881888,,1053.5,49.881888
1054,49.85,,1054,49.85
1054.5,50.85,,1054.5,50.85
1055,51.85,,1055,51.85
1055.5,52.85,,1055.5,52.85
1056,53.85,,1056,53.85
1056.5,54.85,,1056.5,54.85
1057,55.85,,1057,55.85
1057.5,56.85,,1057.5,56.85
1058,57.85,,1058,57.85
1058.5,58.85,,1058.5,58.85
1059,59.85,,1059,59.85
1059.5,60.85,,1059.5,60.85
1060,61.85,,1060,61.85
1060.5,62.85,,1060.5,62.85
1061,63.85,,1061,63.85
1061.5,63.85,,1061.5,63.85
