Station,Evevation
100,327.28
173.8,302.68
187.56,302.62
189.37,302.56
191.55,302.39
192.15,302.36
194.39,302.17
199.41,301.97
201.34,301.36
202.63,300.91
204.43,300.33
205,300.29
205.93,300.23
208.17,300.04
209.46,299.95
210.52,299.92
213.71,299.99
214.48,299.97
215.12,299.99
219.71,300.31
224.3,300.95
229.54,301.64
234.57,302
238.09,301.85
249.63,301.46
254.65,301.27
259.67,301.18
261.05,301.25
263.55,301.29
264.7,301.34
265.64,301.33
269.09,301.13
270.24,301.09
274.74,300.94
279.76,300.8
284.78,300.76
289.8,300.76
291.24,300.73
293.2,300.73
294.83,300.69
296.78,300.61
297.8,300.53
299.85,300.46
304.87,300.4
306.98,300.45
307.86,300.51
309.89,300.57
311.58,300.83
313.4,301.17
314.91,301.42
316.17,301.6
318.94,301.86
319.93,301.99
324.48,301.75
329.95,301.47
335,301.4
335.55,301.41
340.02,301.55
355.09,302.43
362.1,302.6
363.24,302.59
365.13,302.63
370.15,302.58
371.29,302.62
374.32,302.89
375.17,302.94
380.2,303.53
385.22,303.9
390.24,303.88
395.26,303.76
396.48,303.63
398.85,303.31
400.28,303.17
417.3,303.18
489.61,327.28
