Station,Elevation
100,360.3
157.99,340.7
168.39,340.62
173.71,340.44
177.76,340.6
179.04,340.61
181.66,340.79
184.37,340.93
185.55,340.83
189.69,340.61
195.02,340.08
198,339.8
201.14,339.51
205.04,339.37
205.67,339.33
210.99,339.34
212.83,339.36
216.32,339.44
217.84,339.45
220.62,339.43
223.85,339.3
224.52,339.26
226.97,339.23
232.3,339.5
236.21,339.55
242.95,339.68
258.92,340.14
269.58,340.46
285.55,340.84
294.66,341.01
306.86,341.13
310.25,341.19
322.83,341.48
328.16,341.54
338.81,341.71
345.32,341.84
354.79,341.91
370.76,341.95
377.58,342
386.74,342.01
402.72,342.05
413.87,342.16
468.71,360.3
