Station ,Elevation,,,,
100,451.81,,,100,451.81
101,449.81,,,100,449.81
101.58,447.81,,,100,447.81
103.16,445.81,,,100,445.81
104.74,443.81,,,100,443.81
106.32,441.81,,,100,441.81
107.9,439.81,,,100,439.81
109.48,437.81,,,100,437.81
111.06,435.81,,,100,435.81
112.64,433.81,,,100,433.81
118,431.81,,,100,431.81
124,429.81,,,100,429.81
135,427.81,,,100,427.81
138,427.6,,,100,426.82
138,427.6,,,119,426.82
138,427.6,,,138,426.82
157,427.3,,,157,426.82
176,427.2,,,176,426.82
195,427.1,,,195,426.82
214,427,,,214,426.82
233,426.82,,,233,426.82
252,426.82,,,252,426.82
271,426.82,,,271,426.82
290,426.82,,,290,426.82
309,426.82,,,309,426.82
328,426.82,,,328,426.82
347,426.82,,,347,426.82
366,426.92,,,366,426.82
385,427.02,,,385,426.82
404,427.12,,,404,426.82
423,427.22,,,423,426.82
442,427.32,,,442,426.82
450,427.42,,,461,426.82
450,427.52,,,480,426.82
455,428.82,,,480,428.82
460,430.82,,,480,430.82
466.6,432.82,,,480,432.82
468,434.82,,,480,434.82
469.4,436.82,,,480,436.82
470.8,438.82,,,480,438.82
472.2,440.82,,,480,440.82
473.6,442.82,,,480,442.82
475,444.82,,,480,444.82
476.4,446.82,,,480,446.82
477.8,448.82,,,480,448.82
479.2,450.82,,,480,450.82
480.6,451.75,,,480,451.75
