Station ,Elevation
0,720.99
1.4,720.97
3.4,720.91
5.5,720.81
7.5,720.82
9.5,720.69
11.6,720.52
11.9,720.35
13.8,719.35
15.4,718.54
16.1,718.28
17.1,717.98
17.7,717.76
19.7,716.73
20.5,716.6
21.1,716.29
21.8,716.12
24.4,714.62
25.6,714
25.8,713.87
26.2,713.76
27.3,713.43
27.9,713.23
28.7,712.87
29,712.67
29.9,712.34
32.5,711.2
34.2,710.37
36.2,709.44
37.6,708.9
38.1,708.67
38.8,708.25
39.3,707.87
40.1,707.42
42.1,706.5
42.7,706.3
43.8,706
44.4,705.79
46.2,704.85
47.8,704.13
48.8,703.76
49.5,703.52
50.3,703.23
51.3,702.8
52.3,702.3
53,702.04
53.9,701.56
54.7,701.19
56.4,700.53
58.4,699.8
58.9,699.74
59.8,699.56
60.5,699.5
62.5,699.48
64.5,699.43
66.6,699.47
70.6,699.39
72.7,699.37
73.5,699.38
74.7,699.41
76.7,699.38
78.6,699.41
80.3,699.38
82.8,699.38
84.9,699.3
86.9,699.34
90.6,699.29
93,699.28
95.1,699.23
97.1,699.29
99.1,699.19
100.8,699.07
101.2,699.04
101.7,698.94
102.5,698.78
104.3,698.51
105.2,698.34
106,698.17
106.7,698.04
107.7,697.82
109.3,697.35
109.4,697.34
111.4,697.12
113.4,697.14
115.4,697.13
116.2,697.14
117.5,697.15
121.3,697.14
123.6,697.14
125.6,697.61
127.6,698.16
129.7,698.57
131,698.95
131.6,699.13
131.7,699.15
133.3,699.09
136.7,699.15
140.2,699.16
143.9,699.23
146,699.21
147,699.24
148,699.26
150,699.25
154.1,699.37
154.5,699.36
155.5,699.31
156.2,699.3
158.2,699.38
162.3,699.44
164.1,699.5
169.2,699.52
170.9,699.54
172.4,699.59
174.5,699.72
177.2,700.63
177.8,700.84
178.5,701.08
179.7,701.72
180.6,702.2
182.6,703.46
184.3,704.05
184.6,704.13
184.7,704.19
186.3,704.82
186.7,705
187.2,705.2
188,705.39
190.8,706.51
191.4,706.86
192.3,707.28
192.8,707.54
193.2,707.7
194.8,708.4
194.9,708.42
196.6,709.55
196.9,709.72
197.3,709.88
198.3,710.11
198.9,710.38
200,711.05
200.9,711.57
201.7,711.86
202.4,712.15
203,712.4
203.4,712.62
204.9,713.49
205,713.57
205.1,713.6
205.7,713.81
206.8,714.2
207.1,714.28
207.4,714.43
210.2,715.69
211.1,716.06
212,716.33
212.4,716.56
213.2,716.84
215.2,718.16
215.4,718.25
216.3,718.63
217.1,718.89
217.5,719.03
218.8,719.47
219.3,719.69
219.6,719.8
