Station ,Elevation 
69.47,52.64
69.68,52.64
77.52,50.1
79.98,49.31
84.64,47.82
105.85,41.05197
120.39,36.41232
120.93,36.24
125.59,35.5
126.59,35.42
136.99,34.89
142.45,34.63
148.8,34.44
158.31,34.2
160.61,34.19
167.31,34.08
173.49,33.97
175.53,33.92
175.55,33.91
178.2,33.23
186.64,32.98
189.84,32.99
190.07,32.9077
192.02,32.21
192.33,32.12
193.98,32.12
197.12,32.11
197.46,32.38
197.77,32.65
199.59,32.48
199.83,32.46
199.9,32.47
200.93,32.65
203.72,33.19
203.9,33.23
204.11,33.26
205.71,33.44
213.55,34.46
219.65,35.22
221.22,35.35
223.85,35.7
265.47,47.26
275.73,50.12
284.95,52.67
