Station ,Elevation 
100,466.72
103.45,465.96
114.56,462.1504
157.39,447.4641
158.16,447.2
164.03,447.04
169.03,447.25
174.03,447.31
179.89,447.22
183.18,447.3
184.03,447.3
184.87,447.34
188.2,447.39
189.03,447.43
194.83,447.33
200,447.3
203.27,447.28
204.78,447.3
208.29,447.56
209.03,447.57
214.03,448.3
214.56,448.3123
218.33,448.4
219.72,448.45
223.36,448.47
224.03,448.5
229.03,448.59
229.67,448.56
233.4,448.35
239.03,448.14
248.47,448.16
253.49,448.18
254.56,448.16
257.39,448.1385
258.51,448.13
259.54,448.09
264.03,447.84
273.58,447.48
279.03,447.21
284.43,447.25
289.03,447.3
299.03,447.24
304.35,447.24
309.32,447.12
314.03,446.89
319.03,446.52
324.26,446.73
328.82,447.04
329.24,447.05
333.84,446.97
343.66,447.05
400.01,466.35
