Station,Elevation
0,713.48
1.99,712.82
3.98,712.36
5.98,712.06
7.97,711.92
9.96,711.79
11.95,711.58
13.94,711.36
15.93,710.91
17.93,710.28
63.74,695.043
65.73,694.65
67.72,694.49
69.71,694.29
71.71,694.1
75.69,694
77.68,694.28
79.67,694.69
81.66,695.3
83.66,695.77
91.62,697.214
93.62,697.48
95.61,697.68
97.6,697.8
99.59,697.84
101.58,697.74
103.57,697.6
105.09,696.12
113.29,691.27
135.67,685.18
158.24,685.11
178.42,685.6
197.28,692.79
201.88,696.02
214.34,696.71
233.04,693.76
244.99,696.62
290.81,711.42
